index,name,categories,postalCode,city,address,latitude,longitude,dateUpdated,websites
2582,Dunkin' Donuts,Fast Food,19149,Philadelphia,2327 Cottman Ave,40.048.325,-75.061.035,2018-06-14T19:37:56Z,http://www.dunkindonuts.com and http://dunkindonuts.com
2583,Carl's Jr.,Fast Food Restaurant and Burger Joint,96001,Redding,1800 Eureka Way,40.586.456,-122.397.125,2018-06-14T19:37:55Z,http://carlsjr.com
2584,Dunkin' Donuts,Fast Food,19131,Philadelphia,1501 N 52nd St,39.977.237,-75.226.766,2018-06-14T19:37:53Z,http://www.dunkindonuts.com and http://www.dunkindonuts.com/ and http://dunkindonuts.com
2585,Carl's Jr.,Fast Food Restaurant,91006,Arcadia,165 E Duarte Rd,34.130.647,-118.025.445,2018-06-14T19:37:53Z,http://www.carlsjr.com/ and http://www.carlsjr.com
2586,Carl's Jr.,Fast Food Restaurant,90670,Santa Fe Springs,16105 Valley View Ave,33.885.524,-118.029.113,2018-06-14T19:37:52Z,http://www.carlsjr.com
2587,Carl's Jr.,Fast Food,91733,South El Monte,1625 Santa Anita Ave,34.047.393,-118.042.736,2018-06-14T19:37:52Z,http://www.carlsjr.com and http://www.carlsjr.com/
2588,Carl's Jr.,Fast Food Restaurant,91733,South El Monte,1625 Santa Anita Ave,34.047.393,-118.042.736,2018-06-14T19:37:52Z,http://www.carlsjr.com and http://www.carlsjr.com/
2589,Carl's Jr.,Fast Food Restaurant,93703,Fresno,1611 N Blackstone Ave,36.765.382,-119.790.817,2018-06-14T19:37:52Z,http://www.carlsjr.com
2590,Carl's Jr.,Fast Food Restaurant,95355,Modesto,1600 Oakdale Rd,37.667.445,-120.956.954,2018-06-14T19:37:51Z,http://www.carlsjr.com
2591,Carl's Jr.,Fast Food Restaurant,90603,Whittier,15360 Whittier Blvd,33.946.047,-117.999.116,2018-06-14T19:37:50Z,http://www.carlsjr.com and http://www.carlsjr.com/
2592,Carl's Jr.,Fast Food Restaurant and Arcade and and Food,90638,La Mirada,15226 Rosecrans Ave,33.898.549,-118.006.544,2018-06-14T19:37:49Z,http://www.carlsjr.com
2593,Carl's Jr.,Fast Food Restaurant and American Restaurant,92404,San Bernardino,1505 E Highland Ave,34.135.501,-117.254.486,2018-06-14T19:37:49Z,http://www.carlsjr.com
